id,title,artist,release,duration,year,loudness,country
504,Chasing Windmills,Heavy D,Vibes,206.99383,2008,-5.435,"Jamaica, West Indies"
505,Linoleum (live),NOFX,I Heard They Suck Live!,135.52281,2008,-6.6,"Berkeley, CA"
506,The Drug Suite,Stew,The Naked Dutch Painter And Other Songs,569.20771,2002,-17.647,New York
507,Child Support,DJ Nasty,1st. Round Darft Pick,221.09995,1995,-7.114,"Orlando, FL"
508,Il N'Etait Pas Sentimental,Line Renaud,Copacabana,140.56444,2006,-11.616,SWEDEN
509,Wear Your Love Like Heaven / Workin' On A Groovy Thing (Medley) (1997 Digital Remaster),David Rose,Ultra-Lounge / On The Rocks With A Twist - Part 2,292.80608,2006,-13.176,Arizona
510,Don Carlo (2000 Digital Remaster): Tu che le vanità (Elisabetta),Montserrat Caballé/Orchestra of the Royal Opera House_ Covent Garden/Carlo Maria Giulini,Verdi: Don Carlo,168.56771,2008,-22.06,"Sudbury, Ontario - Canada"
511,All Dressed Up,Aram Shelton,Arrive,540.52526,1983,-9.479,Illinois
512,Junk,Photek,Solaris,327.88853,2000,-6.282,"Ipswich, England"
513,Marine's hymn,The Sun Harbor's Chorus-Documentary Recordings,Songs of the marines,110.94159,2006,-15.81,"Rio de Janeiro, BR"
514,Programmed to Consume,Abysmal Dawn,Programmed to Consume,261.43302,2008,-6.405,"Fort Worth, TX"
515,Dancing The Night Away,The Motors,Airport - The Motors Greatest Hits,393.61261,1977,-9.897,"Hollywood, CA"
516,Apostasie,Konexion,Message A L'Eglise,405.78567,1997,-4.491,"Cross Lane, WV"
517,The Things You Do,Slum Village,J-88,152.86812,2002,-5.216,Detroit MI
518,Viimeiset hitaat,Kaija Koo,Lauluja rakkaudesta,192.23465,1995,-13.012,"San Francisco, CA"
519,1 - 800 - Quiereme - Remix,Luisito Rosario,Rumba Del Barrio,302.602,1970,-6.572,Pennsylvania
520,Javalon,Constance Demby,Set Free - The Definitive Edition,259.36934,1989,-8.273,California - SF
521,Le Récit De Cassard,Maurice Larcange,Joue Legrand & Becaud,199.54893,1992,-10.908,"Regina, Saskatchewan, Canada"
522,Auf die Fresse_ fertig_ los,ÄI-TIEM,Wenn hier einer schießt_ dann bin ich das,166.03383,2004,-13.277,"Long Island, NY"
523,Heaven And Hell (Part II),Vangelis,3 Originals,1280.88771,2008,-15.357,"Volos, Greece"
524,Where To Hide?,Monomonkey,Before we all implode,222.30159,2003,-5.128,"Lausanne, CH"
525,Tirador (Carlos Jean Remix),Hevia,Tierra De Hevia,258.89914,2005,-5.811,"Menilmontant, France"
526,No Ordinary Love (Remastered LP Version),Deftones,B-Sides & Rarities,334.75873,2005,-6.893,"Sacramento, CA"
527,Wait And Bleed [Demo],Slipknot,Slipknot 10th Anniversary Edition,154.27873,2004,-4.035,"Des Moines, Iowa"
528,Con La Misma Tijera,Los Originales De San Juan,Mi Padre Querido,196.93669,2004,-7.445,"Havana, Cuba [Jesus Maria]"
529,Des voiliers (Sur un poème de Claude Nougaro),Richard Galliano,New Musette,549.38077,2008,-16.8,"Le Cannet, France"
530,"Messiaen : Et exspecto resurrectionem mortuorum : IV ""Ils ressusciteront_ glorieux_ avec un nom nouveau",Pierre Boulez,Messiaen : Edition,530.70322,2002,-16.958,"Montbrison, France"
531,One Of These Days,Mike Bloomfield,Diamond Master Series - Mike Bloomfield,153.91302,2008,-27.749,"Lamar, CO"
532,Freak,Stephen Pearcy,Anthology 1977-2007,216.63302,2002,-2.456,California - LA
533,Rock Island Blues,Furry Lewis,Lost & Lonely Blues Vol 1,166.94812,2000,-18.712,"Greenwood, MS"
534,Ocean Size (Album Version),Goldfinger,Disconnection Notice,174.31465,2000,-6.119,"Miami, Florida"
535,Cherry,UFO,The Essential UFO,213.31546,2001,-11.982,Arizona
536,valid,Riamiwo,Twisted,303.72526,1982,-11.321,"Oxford, UK"
537,Got You Moving,DJ DLG feat. MC Flipside,On The Run / Back For More / Got You Moving EP,377.62567,2006,-5.98,"Baltimore, MD"
538,Everybody's Gonna Be Happy,Queens Of The Stone Age,Songs For The Deaf,155.61098,2002,-2.321,"McLellan, FL"
539,Threadbare Gypsy Soul,Pat Green,Three Days,295.75791,2001,-7.867,"San Antonio, TX"
540,All Things Must Pass (2009 Digital Remaster),George Harrison,Let It Roll - Songs Of George Harrison,226.40281,2008,-6.466,"Liverpool, England"
541,Lil Brother (LP Version),King Curtis,Have Tenor Sax Will Blow,294.26893,1996,-9.952,"Fort Worth, TX"
542,Dead End Street,Foghat,Tight Shoes,300.14649,1980,-5.693,"London, England"
543,En La Tierra Caliente,Tam Tam Go!,The Platinum Collection,231.60118,1993,-5.301,"Barking, Essex, England"
544,I'm Just Raw (prod Dan the Automator) Main,Lyrics Born,I'm Just Raw b/w Pack Up Remix,239.0722,1997,-4.655,Japan
545,Manhã de Carnaval (Morning of the Carnaval) (Cantando As Músicas do Film Orfeo do Carnaval),João Gilberto,Chega de Saudade,153.70404,1959,-14.963,"Mt. Vernon, NY"
546,Bluesanova,Daddy Dog,Turntable Essence,196.96281,2006,-8.227,"San Antonio, TX"
547,Ida Red,Bob Willis,Texas Swingtime,146.72934,1993,-9.599,"Kosse, TX"
548,"Of Love & War (""Harry Potter & The Half-Blood Prince"")",Nicholas Hooper,Harry Potter And The Half-Blood Prince - Original Soundtrack,77.60934,1991,-19.015,"The Bronx, New York"
549,Confiar Es Perder,Los Jaigüey,Los Jaigüey,293.92934,2006,-6.394,"St. Louis, MO"
550,Constructing the Absence,Sub Swara,Coup d'Yah Remixes Vol. 2,343.35302,2008,-9.822,Brooklyn NY
551,Requiem Mass in D Minor_ K. 626: VIII. Lacrimosa dies illae,Vienna Concert House Orchestra_ Wiener Sängerknaben_ Ferdinand Grossmann,66 Mozart Masterpieces,178.65098,1997,-21.039,California
552,House Full Of Bullets,Joe Satriani,Live In San Francisco,415.4771,1998,-8.531,"Westbury, Long Island, NY"
553,Giant Steps,Gonzalo Rubalcaba,Images: Live From Mt. Fuji,598.62159,2001,-21.781,"Havana, Cuba"
554,Everything In Its Right Place,Radiohead,The Best Of,249.93914,2000,-11.637,"Oxford, UK"
555,Tainted Love feat. Tatz,NG3,As Nasty As we Wanna Be,240.50893,2003,-3.304,"New York, NY [Harlem]"
556,Midnight Lovers,Wyclef Jean,Masquerade,7.13098,2002,-13.558,"Croix-des-Bouquets,  Haiti"
557,Shoot The Dog,George Michael,Twenty Five,308.76689,2004,-7.255,"London, England"
558,Curse Of Sound (Dub Mix),Vuneny,V2,263.41832,2006,-7.966,New Jersey
559,Better Life,3 Doors Down,The Better Life - Deluxe Edition,203.2322,2007,-4.995,"Escatawpa, MS"
560,The Song Remains The Same (2007 Remastered Album Version),Led Zeppelin,Mothership,330.78812,2007,-8.852,England
561,The Aba Daba Honeymoon,Kitty Kallen,Our Lady... Kitty Kallen,137.1424,1995,-12.632,"Philadelphia, PA"
562,The Kid's Last Night (heaven is in the mountain),Abner Burnette,Calavera,425.37751,2010,-15.962,LA / NYC
563,Serenata de un gaitero,Gran Coquivacoa_ Neguito Borjas,Clasicos de oro del Gran Coquivacoa,345.33832,1999,-8.943,"Inverness, MS"
564,I'll Be Home When I Can,Charlie Louvin,Hoping That You're Hoping,227.52608,2008,-20.077,Tennessee
565,Praz Him (Broken Album Version),Darwin Hobbs,Broken,212.50567,2003,-4.485,Pretoria
566,Eat Or Get Ate,Tum Tum,Eat Or Get Ate,231.33995,2007,-3.048,Mass. - Boston
567,Boogaloo Wow,Mongo Santamaria,Santa Maria,229.51138,1993,-9.698,"Havana, Cuba [Jesus Maria]"
568,Will You Be There? (Live Version),Cindy Morgan,Listen,101.58975,2004,-14.966,"Nashville, TN"
569,I'm Against It/Horse Feathers,The Marx Brothers,Horse Feathers / Animal Crackers,188.3424,1967,-17.126,"New York City, New York"
570,I Know You Got Soul,Eric B. & Rakim,Paid In Full,282.04363,1987,-12.314,"LOS ANGELES, CALIFORNIA"
571,Békási táncdallamok,Muzsikas,World Music From Hungary 2.,351.50322,2000,-2.937,Tennessee
572,Army Of Me (Album Version),Chimaira,The Impossibility of Reason [Special Edition],260.64934,2005,-4.372,"Cleveland, OH"
573,Einleitung,Kurt Tepperwein,Charismatisches Selbstimage - Selbst-Management,33.67138,1979,-14.431,"Vienna, Austria"
574,Because Of You (Album Version),Unwritten Law,Here's To The Mourning,183.74485,2005,-4.26,California
575,Falling Down [Live Acoustic],Muse,Unintended,312.05832,2007,-13.016,UK
576,La danse des petits amis,Oui Oui,Oui-oui et le cadeau surprise,174.15791,1997,-5.546,"Havana, Cuba"
577,Ayudame Freud,Ricardo Arjona,Historias,403.25179,2009,-11.533,Brazil
578,Les Reves D´enfants,Monty,Pour La Vie,195.60444,2007,-9.675,California - LA
579,When They Ring The Bells Of Heaven,The Perrys,Remembering The Happy Goodmans,109.81832,1990,-9.058,Maryland
580,When Me A Move,Capleton,Lotion Man,223.39873,1991,-14.472,Italy
581,With a Little Dub From My Friends (feat. Luciano and U Roy),Easy Star All-Stars,Easy Star's Lonely Hearts Dub Band,196.23138,2009,-9.311,California
582,4 Minutes [Featuring Justin Timberlake and Timbaland] [Bob Sinclar Space Funk Remix],Madonna,4 Minutes - The Remixes,339.35628,1994,-4.876,"Bay City, MI"
583,Sweet Remedy,Jennifer Brown,In My Garden,259.23873,2002,-9.654,"PLAINVIEW, Texas"
584,I'm Mad,EPMD,Business As Usual,222.14485,1990,-10.031,allentown Pennsylvania USA
585,Sicilienne (by Francis Poulenc),Laura Leon,Preludes To Passion,92.13342,2010,-26.045,NY - New York City
586,Corazon Clandestino,Fito Paez,Cronica,175.25506,2003,-14.585,"Brenham, TX"
587,Tristeza (Brazilian Blues),Luiz Bonfa / Oscar Castro Neves / Lalo Schifrin,Composer of Black Orpheus Plays and Sings Bossa Nova,186.67057,1989,-21.091,"Rio de Janeiro, Brazil"
588,De belles,Théophil,Des vies,248.58077,1995,-10.007,NL
589,Molly Darling,Eddy Arnold,Cattle Call,183.50975,1956,-16.968,"Madisonville, TN"
590,Thrones And Dominions (Album),Earth,Phase 3: Thrones And Dominions,861.83138,2003,-20.288,Georgia
591,4 Minutes [Featuring Justin Timberlake And Timbaland] [Junkie XL Remix Edit],Madonna,Hard Candy,277.99465,2008,-3.629,"Bay City, MI"
592,Turn The Heat Up,Bobaflex,Apologize For Nothing,147.43465,2005,-3.124,"Huntington, WV"
593,Cursed Angel Of Doom (Previously Unreleased&Re-Recorded Track),Behemoth,Demonica,188.08118,2006,-4.905,POLAND
594,Death Blow,Kool Moe Dee,The Greatest Hits,397.5571,1991,-8.74,"Harlem, New York, NY"
595,The Future,Benga,GetDarker Presents THIS IS DUBSTEP 2,277.55057,2006,-8.525,"London, United Kingdom"
596,If They Want It,DJ Clue / Fabolous Sport,If They Want It,242.75546,1992,-8.649,"New York, NY [Queens]"
597,Heartless,Hoods,The King Is Dead,175.3073,1996,-4.507,Vrsac
598,Inaudible Melodies,Jack Johnson,Brushfire Fairytales,207.09832,2000,-15.218,"Galveston, TX"
599,Breaking Of Day (Album Version),The Winans,Decisions,288.26077,1991,-10.961,"Detroit, MI"
600,Leroy Bown,Dee Clark,Raindrops - The Best Of...,170.65751,2006,-12.995,"Blythesville, AR"
601,Foolish Little Girl,The Shirelles,Karaoke: 60's Star Power - Singing to the Hits,132.33587,1963,-11.49,"Passaic, NJ"
602,A Veces Vuelvo,Catupecu Machu,El Número Imperfecto,266.1873,2004,-4.768,California - SF
603,Isle Of Inishmore - Part 1 (Air),Kathy Mattea,Roses,124.83873,2002,-14.479,"Cross Lane, WV"
604,Get Up (Diplo Mix),Bingo Players,Nervous Nitelife: Tom Stephan,171.49342,2005,-5.788,"Niagra, KY"
605,Yi Ba Xiang Shui Yin,Leon Lai,Homework,210.9122,2004,-4.824,"New Haven, CT"
606,U Don't Have To Call,Streetwize,Smoothe Urban Jazz,302.13179,1969,-7.819,"Chicago, IL"
607,Red Apple Juice (LP Version),The Tarriers,Tell The World About This,118.5171,2006,-14.523,Illinois
608,V,Zeromancer,The Death Of Romance,280.08444,2010,-6.707,"Hollywood, CA"
609,Sweeter Than You,The Four Pennies,The Very Best Of The Four Pennies,156.57751,2008,-9.242,Texas
610,Seeing Is Believing,Mike And The Mechanics,Living Years,193.56689,1988,-5.24,United Kingdom
611,"Los De Aragón: ""Los De Aragón",Alfredo Kraus,KRAUS - Una Voz Universal,322.29832,1988,-15.734,"Birmingham/ London, UK"
612,Little Bit of Inner Air,Atomic Rooster,Made In England,159.60771,1972,-9.079,United Kingdom
613,Sweet Defeat,The Flesh,The Flesh,227.00363,1995,-3.861,"Brooklyn, NY"
614,Bülent & Mompfreed: Mompfreedonium,Bülent Ceylan,Ganz schön turbülent,54.15138,1989,-18.446,"Brooklyn, NY"
615,Des Helden Widersacher,David Zinman,Richard Strauss: Ein Heldenleben; Tod und Verklärung,227.082,1963,-25.613,"McLellan, FL"
616,Push It,Salt-N-Pepa,Ultimate Girl Groups,207.62077,1988,-5.668,"Harlem, NY"
617,Atrapados En La Red,Tam Tam Go!,Cruzando El Río,405.41995,1999,-4.811,"MILWAUKEE, Wisconsin"
618,Marseille (Live On Tour_ 1984),Thomas Dolby,The Flat Earth (Collector's Edition),281.05098,1967,-12.032,"Cairo, Egypt"
619,On Tomorrow,Captain Beefheart & The Magic Band,Strictly Personal,206.57587,2002,-15.794,UK - England - West Midlands
620,A World In Fast Forward,Michael Whalen,Jazzworks Volume I,436.53179,2002,-20.523,New York
621,The Lost Name of God,Amorphis,Karelian Isthmus,332.06812,1992,-7.107,"New York, NY [Queens]"
622,Through With You,Maroon 5,Songs About Jane,181.52444,2002,-5.622,"Los Angeles, CA"
623,Chalifot (Suits) (Live) (ft. Lioara Itzchak),Hadag Nahash,Hadag Nahash - LIVE,338.9122,2004,-5.296,"Beirut, Lebanon"
624,Hip Replacement,Paris_ Texas,Polyvinyl 2002 - 2003 Sampler,225.67138,2002,-6.737,"Madison, WI"
625,Here I Am,FFH,Ready To Fly,263.83628,2003,-6.315,New Hampshire
626,Down And Out In Paradise,John Mellencamp,The Lonesome Jubilee,216.86812,1987,-8.698,"Seymour, IN"
627,Every Breath I Take,Gene Pitney,Something's Gotten Hold of My Heart: the Collection,166.3473,1986,-6.832,"Hartford, CT"
628,Zornig!,Dynamite Deluxe,Deluxe Soundsystem,148.29669,2000,-8.315,Germany
629,Who Do You Roll With?  (LP Version),New Direction,New Direction,265.24689,1999,-6.611,"CHICAGO, Illinois"
630,El Chorro,Los Auténticos Decadentes,Vinyl Replica:  Cualquiera Puede Cantar,153.57342,1997,-5.79,"Belfast, Northern Ireland"
631,Bomba Camara,Richie Ray & Bobby Cruz,A life time of Hits.. (Live At Centro De Bellas Artes_ San Juan_ Puerto Rico.),370.75546,1999,-8.036,Quebec
632,Sugar Blues,Bob Willis,Texas Playboys,172.09424,2000,-13.559,"Kosse, TX"
633,Exodus,Sunscreem,Looking At You: The Club Anthems,232.4371,1995,-8.955,"Essex, England"
634,Sickness,Agnostic Front,Riot_ Riot_ Upstart,92.18567,1999,-3.565,"New York, NY"
635,Inertiatic Esp,The Mars Volta,Inertiatic Esp,266.47465,2003,-3.952,"Long Beach, California"
636,Sea of Green,Slackbaba,And The Beat Goes Om,465.6322,2006,-7.016,California - SF
637,Sleepy Lad,Maximilian Hecker,Help Me,174.23628,2004,-14.689,New Jersey
638,Mother_ Mother_ Mother_ Pin A Rose On Me,Kitty Kallen,Our Lady... Kitty Kallen,161.38404,2000,-14.281,"Philadelphia, PA"
639,True Fuschnick,FU-Schnickens,Greatest Hits,237.92281,1992,-9.093,"Burlington, Ontario, Canada"
640,My Plastic Heart (Plastic Operator Remix),Frost,My Plastic Heart,336.24771,2008,-12.624,"Birmingham, England"
641,Raggy Road,Capleton,Live At Negril,86.88281,1997,-8.834,"Neuilly-sur-Seine, France"
642,Tell The Truth (Album Version),Jude Cole,Start The Car,327.26159,1994,-8.858,"East Moline, IL"
643,Trumpet Blues And Cantabile,Mike Vax,Trumpets - The Transformation,154.06975,2001,-10.418,"Kingsland, AR"
644,You'll Need Somebody On Your Bond,Blind Willie Johnson,The Complete Blind Willie Johnson,187.16689,1991,-17.389,"Edwards, MS"
645,Main Title,Christophe Beck,Elektra,91.21914,2002,-26.631,United States
646,Autumn's Ablaze (Live),Primordial,A Journey's End,484.10077,1998,-13.383,"Dublin, Ireland"
647,Contigo Si,La 5A Estacion,Primera Toma,131.3171,2005,-8.278,Bergen Norway
648,Concerto In A Minor_ Op 54: First Movement - Allegro Affettuoso - Andante Espressivo - Tempo I - Cadenza - Allegro Molto,Solomon,Piano Concertos; Grieg & Schumann,834.24608,1979,-22.875,New York
649,La Calle Del Gato Que Pesca,María Elena Walsh,Todos Cantamos Con Maria Elena,156.83873,1977,-14.627,"Heston, Middlesex, England"
650,C'Etait Bien,Jean Corti,Couka,183.19628,2001,-11.765,Ohio
651,Turandot (2008 Digital Remaster)_ Act III - Scene I: Nessum dorma!,Maria Callas/Eugenio Fernandi/Elisabeth Schwarzkopf/Giuseppe Nessi/Nicola Zaccaria/Mario Borriello/Renato Ercolani/Piero de Palma/Giulio Mauri/Elisabetta Fusco/Pinuccia Perotti/Coro del Teatro alla Scala_ Milano/Orchestra del Teatro alla Scala_ Milano/Tul,Callas Sings Puccini,172.90404,1980,-13.963,"New York, NY"
652,Eurydice! ombre chère!,Juan Diego Flórez / Orquesta Sinfónica de Madrid / Jesús López-Cobos,Gluck: Orfée et Euridice,87.32689,2006,-21.523,"Kingston, Jamaica"
653,Prayer For The Dying (Live In Paris),Seal,Live In Paris,304.14322,2005,-6.373,"Paddington, London, England"
654,Another Last Shot (Album Version),Vivian,Another Last Shot,283.79383,2004,-5.08,CANADA - Ontario
655,A Talk With Dad,Speech,PEECHY,160.93995,2003,-22.033,"Milwaukee, WI"
656,Safety Net (Album Version),Moros Eros,Jealous Me Was Killed By Curiosity,224.41751,2007,-5.879,"Marietta, GA"
657,Hello Hello,Abrar - Ul - Haq,Billo on G.T. Road,301.16526,2003,-11.362,"Kingsland, AR"
658,Whip Fight,Harry Gregson-Williams,Rundown/Welcome To The Jungle,95.9473,2003,-14.798,California
659,Subliminal ohne Naturgeraeusche,Kurt Tepperwein,Charismatisches Selbstimage - Selbst-Management,1203.53914,2007,-22.016,"Alexandria, Egypt"
660,Isle of St. Helena,Mary Black & General Humbert,Holding Up Half the Sky: Voices of Celtic Women,303.75138,1984,-10.273,Ireland
661,I'll Be Yours,Faron Young,Live Fast_ Love Hard_ Die Young (Best of_ Vol. 1),168.72444,1994,-13.601,"Shreveport, LA"
662,Marcel,Pierre Perret,Le Monde de Pierrot,277.21098,1994,-10.416,"Atlanta, GA"
663,Hunted,Scott Glasgow,Bone Dry - Original Motion Picture Soundtrack,154.5922,1983,-26.765,"Pensacola, FL"
664,Sarankégni,Djelimady Tounkara,Solon kôno,487.33995,2005,-9.777,"Regina, Saskatchewan, Canada"
665,The One Who Lives Inside Your Heart,Lari White,Sing Me To Sleep_ Mommy,239.90812,2002,-13.805,"Dunedin, FL"
666,Sound Clash (featuring Beenie Man) - FattaSly Extended Mix,Dream Warriors,The Master Plan,414.24934,1996,-8.164,"Toronto, Ontario, Canada"
667,Tsai Me Lemoni (2005 Digital Remaster),Dakis,Back To The 70'S-The Very Best Of Dakis,224.07791,2005,-5.554,"Orange, CA"
668,Natural Light (Subliminal Self-Help),Steven Halpern,Radiant Health & Well-Being,248.63302,1992,-31.346,"Bowling Green, VA"
669,(Prayer Is The Key To Heaven) Faith Unlocks The Door,Don Gibson,I Can't Stop Loving You,151.09179,1959,-15.854,"Shelby, North Carolina"
670,Finisterre (Live),Mau Mau,Marasma General,745.40363,2003,-13.297,"Berlin, Germany"
671,America's Suitehearts,Fall Out Boy,Alternative Summer 2009,214.33424,2008,-4.469,"Wilmette, IL"
672,Bad Reputation (Originally Performed by Thin Lizzy),The Meatmen,Cover the Earth,170.4224,2007,-5.681,"Lansing, MI"
673,You Can Do Better Than Me (Album Version),Death Cab for Cutie,Narrow Stairs,119.40526,2008,-10.775,"LITTLE ROCK, Arkansas"
674,That Girl,Gary Morris,THAT GIRL,305.10975,2005,-9.636,"Fort Worth, TX"
675,I've got Vilking in Me,Four Tet,My Angel Rocks Back and Forth,136.202,2004,-17.977,ITALY
676,2StepN,North Mississippi Allstars,Barnyard (OST),166.21669,2006,-8.235,"Hernando, MS"
677,Seize the day,Time Factory,No borders,244.45342,2003,-9.015,"Atlanta, GA"
678,Song Sung Blue,Neil Diamond,Play Me: The Complete Uni Studio Recordings...Plus!,194.40281,1972,-8.351,"Brooklyn, NY"
679,Mutter Erde,Monika_ Wolfgang,Mutter Erde,178.78159,2006,-5.362,Greece
680,Ain't That Something,High Strung_ The,These Are Good Times,165.3024,2003,-2.694,"Detroit, MI"
681,Ombre Et Lumière,Vincent Bruley,Le Temps Suspendu,498.38975,1995,-14.037,"Ocean Beach, San Diego, CA"
682,Warung Beach,John Digweed,Warung Beach,405.10649,2006,-5.988,"Hastings, England"
683,Ride On Time (Original Version),Black Box,NOW Dance Anthems,272.14322,2006,-9.159,Illinois
684,Désolé Pour La Poussière,Miossec,1964,225.90649,2004,-7.254,"Brest, France"
685,Gigantor,Dickies,Locked 'n' Loaded,179.59138,2002,-10.223,"Antwerp,Belgium, New York"
686,If I'M Dreaming just Let Me Dream,Brenda Lee,The Very Best Of Brenda Lee Vol.2,173.06077,2005,-11.761,"Lithonia, GA"
687,The Hills Of Old Wyomin',Roy Rogers,Ride Ranger Ride,185.0771,1999,-18.421,"Redding, CA"
688,Got To Tell The People,Cornell Campbell,Tell The People,184.99873,1997,-15.726,Jamaica
689,Here And Beyond,Behemoth,Zos Kia Cultus,206.44526,2002,-4.46,POLAND
690,Better Days (Album Version),Faith Hill,Faith,207.80363,1998,-7.132,"Jackson, MS"
691,Apoliome Re Giorgi (Feat. Etsi De),IMISKOUBRIA featuring Etsi De,I Apli Methodos Ton Trion,245.26322,1998,-5.717,Wisconsin
692,Distant Cousin,George Schuller,JigSaw,409.0771,1983,-13.132,NY - New York City
693,Rotate,Capone-N-Noreaga feat. Busta Rhymes and Ron Browz,Channel 10,256.1824,2009,-3.163,"New York, NY [Queens]"
694,Love,Opals,Doo-Wop Classics Vol. 9 [Beltone Records],136.77669,1997,-9.271,"Cleveland, OH"
695,Tell Your Momma Come,Black Eyed Peas,Bridging The Gap,196.362,2000,-5.065,"Los Angeles, CA"
696,Year 3_000 Blues (2002 Digital Remaster),Ten Years After,Cricklewood Green,145.00526,1970,-10.124,"Nottingham, England"
697,Xue Hua Chao,Hins Cheung,Urban Emotions,238.21016,2008,-6.339,"Hermosillo Sonora, Mexico"
698,Over The Rainbow,Anita Kerr,And Now...The Anita Kerr Orchestra!,156.52526,2007,-14.355,"Memphis, TN"
699,Witchcraft (1997 Digital Remaster),Joe Graves & The Diggers,Ultra-Lounge / Bossa Novaville Volume Fourteen,261.32853,2006,-13.435,United States
700,Mary Had A Little Lamb,Dora The Explorer,Dora The Explorer Party Favorites,169.09016,2008,-3.215,"Ipswich, England"
701,40 OZ Quartet Part I,Tha Liks,X.O. Experience,108.2771,2001,-6.929,"Bay City, MI"
702,I Don't Know,Teenage Fanclub,Bandwagonesque,274.70322,1991,-15.838,"Glasgow, Scotland"
703,Chaos (Live - Bridgehouse Tapes),4 Skins,The Secret Life Of The 4 Skins,126.14485,2007,-6.014,Vernet les Bains
704,Fleetwood,Jim Bryson,The North Side Benches,276.21832,2003,-7.101,"Ottawa, ON, Canada"
705,3 + 3,Vangelis,3 Originals,575.58159,1977,-17.058,"Volos, Greece"
706,Anarchy in the UK (Sex Pistols) (Bonus Track),Adrenalin O.D.,Humungousfungusamongus,142.65424,1986,-5.235,"Walker-on-Tyne, England"
707,Kiss the Sky,Danielle Bollinger,When The Broken Hearted Love Again,223.52934,2006,-4.518,Flint Michigan
708,Anything's Better Than Feelin' The Blues,Martina McBride,Emotion,181.86404,1999,-7.914,"Medicine Lodge, KS"
709,Don't Speak,Kinky,Dance Vol. 2,306.05016,2003,-10.003,"Monterrey, Nuevo León, México"
710,No. 6 The Coombe,The Chieftains,The Chieftains 7,231.1571,1977,-13.855,Ireland
711,Frankie & Sue,Darden Smith,Extra Extra,207.41179,1990,-10.052,"Brenham, TX"
712,My Maria (LP Version),Martin Sexton,The American,244.4273,1998,-10.218,"Syracuse, NY"
713,Virgen De La Nieve - 14-String Guitar Solo,Stephan Micus,Towards The Wind,336.09098,2002,-26.688,"Seattle, WA"
714,Death Song,The Last Days Of Jesus,Alien Road,292.57098,2004,-8.232,"New York, NY"
715,Everyday Stranger,Dub Pistols feat. TK & Ashley Slater,Rum & Coke,328.48934,2009,-6.841,"London, England"
716,Cross Currents,Richard Souther,Cross Currents,273.05751,1987,-14.299,United States
717,You (Demo),Radiohead,Pablo Honey (Collector's Edition),204.06812,2009,-13.708,"Oxford, UK"
718,Only You,Ayo,Live At The Olympia,288.49587,2006,-11.471,United States
719,Baños De Budapest (Extended Remix),Hevia,Tierra De Hevia,331.88526,2005,-4.769,"Brooklyn, NY"
720,Shrinking,Dictafone,The Chocolate King,254.17098,2002,-6.632,Missouri
721,Secret Handshakes,The Ataris,Welcome The Night,222.9024,2006,-4.317,"Anderson, IN"
722,One Step Forward_ Two Steps Back,John Sebastian,Welcome Back,276.45342,1976,-12.983,Leeds
723,Greener,ARRESTED DEVELOPMENT,Strong,338.96444,2003,-7.607,"Atlanta, GA"
724,Your Love Takes Good Care Of Me,The Jordanaires,The King's Harmoniers,123.74159,2005,-16.176,"Springfield, MO"
725,Let It Bang,X-ecutioners featuring M.O.P.,Built From Scratch,210.07628,2001,-4.33,"New York, NY"
726,40,U2,Live From Paris,406.85669,1992,-8.539,"Dublin, Ireland"
727,Love & Romance,Willie Barcena,Hey! They're Just Jokes!,163.76118,2006,-17.813,"Chicago, IL"
728,Prosperity In The U.S.A.,Yuppie Pricks,Initial Public Offering,168.6722,1999,-4.433,Austin
729,Burning Skies,Tones On Tail,Everything!,387.16036,1987,-11.705,California
730,Hun Qian De Nu Ren,Hacken Lee,Concert Hall Live,481.54077,2009,-12.838,California
731,Boulevard St. Germain,Bloomfield,Café Solaire 11-Download Edition,353.69751,2006,-6.718,"Birmingham, England"
732,Flame It Up,DJ Rashad,Juke Trax Online Vol. 3,186.69669,2006,-6.36,"Shelby, North Carolina"
733,I Never Did No Hitler,20/20,Interstate,221.72689,2007,-8.168,"Glasgow, Scotland"
734,Caroline (LP Version),Billy Pilgrim,Bloom,220.26404,1995,-7.152,Georgia
735,Prayer Walk,Kris Gruen,Lullaby School,185.28608,1991,-10.777,NY - New York City
736,It's A Secret,Mungo Jerry,The Best Of In The Summertime,193.90649,1995,-9.984,California - LA
737,Some Kind of Record,Rockit,Retro Boosters,217.10322,1983,-6.898,"Los Angeles, CA"
738,Forever,Orbital,Snivilisation,478.45832,1994,-13.27,"Sevenoaks, United Kingdom"
739,Only Just Begun,John Holt,Ultimate Holt,209.29261,2006,-8.839,"Kingston, Jamaica"
740,New War,4 Skins,A Fistful Of 4 Skins,250.48771,1998,-8.214,London
741,C'est pas ma faute,Betika_ Daouda,Afriki zouk vol2,286.77179,1989,-10.224,UK - England - South East
742,Dead End Sign,Bonita,Album,217.88689,1997,-7.29,jakarta
743,God Gave Me You (Single/LP Version),Bryan White,How Lucky I Am,245.81179,1999,-7.92,"Lawton, OK"
744,Felicidade,Moraes Moreira,Estados,194.87302,2006,-11.906,Great Britain / UK
745,Zhui Zhong,Jacky Cheung,E Lang Chuan Shou,226.37669,1981,-12.175,"Atlanta, GA"
746,Cum,Eric Burdon,Wild & Wicked,168.30649,1998,-7.207,"Walker-on-Tyne, England"
747,Rescue And Breakout,James Horner,The Missing,203.54567,2003,-16.487,"Los Angeles, CA"
